generation,genome,fitness
15,0.262098,1.03208
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.589073,-0.672834
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,-0.565685,-0.913196
15,-0.78069,-1.70967
15,0.199211,1.25061
15,0.199211,1.25061
15,-0.608637,-1.07466
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
16,1.06203,-0.477807
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.659716,-0.241642
16,-0.0517243,-1.9018
16,0.199211,1.25061
16,-0.771652,-1.71035
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,-0.398227,-1.5748
16,0.0343253,-0.389762
16,0.582094,-0.706613
16,0.199211,1.25061
16,0.199211,1.25061
16,-0.0368124,-1.65183
16,0.199211,1.25061
16,0.199211,1.25061
16,-0.0178715,-1.32037
16,0.199211,1.25061
16,0.27843,0.911801
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,-0.230272,-3.14409
16,0.16128,1.15266
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.199211,1.25061
16,0.709887,0.059268
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,-0.327853,-2.34243
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,-0.296998,-2.66445
17,0.199211,1.25061
17,0.199211,1.25061
17,0.935866,-0.191401
17,0.590864,-0.663771
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.16128,1.15266
17,0.199211,1.25061
17,0.199211,1.25061
17,0.709887,0.059268
17,0.78727,0.294099
17,0.199211,1.25061
17,0.490069,-0.834226
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.16128,1.15266
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.0681108,0.165158
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,0.199211,1.25061
17,1.15633,0.10039
17,-0.0240186,-1.42923
17,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,-0.313809,-2.49359
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
